id,col_id,species,date,country,state,county,muni,site,lat,lon,Source
TJWood_1,,Dufourea novaeangliae,8/13/17,US,Michigan,Wexford,,"DunCadillac: west end of Lake Cadillac, just off M55stable Rural Land Trust Gregg Property",44.232,-85.449,J.B. Wallis/R.E. Roughley Museum of Entomology
Mroswell_1,MR22781,Dufourea novaeangliae,8/4/16,US,,,,,40.334024,-74.670831,https://doi.org/10.5061/dryad.c3rr6q1
Mviet_1,,Dufourea novaeangliae,8/1/09,US,New Hampshire,Rockingham,Kingston,Kingston Dog Park Sandpit,42.9058,-71.0682,
Mviet_2,,Dufourea novaeangliae,7/15/10,US,Massachusetts,Worcester,Ashburnham,Wallace Pond,42.7067,-71.9237,
Mviet_3,,Dufourea novaeangliae,8/7/12,US,Massachusetts,Bristol,Taunton,Massasoit State Park,41.87691,-70.98898,
Mviet_4,,Dufourea novaeangliae,8/4/12,US,Massachusetts,Berkshire,Savoy,Burnett Pond Clearing,42.6158,-73.042,
Mviet_5,,Dufourea novaeangliae,7/12/16,US,Massachusetts,Middlesex,Pepperell,Lawrence Street Swamp,42.6961,-71.6336,
Mviet_6,,Dufourea novaeangliae,7/4/20,US,Massachusetts,Middlesex,Pepperell,Lawrence Street Swamp,42.6961,-71.6336,
Jneff_1,,Dufourea novaeangliae,8/13/86,US,Massachusetts,Worcester,,,42.448,-71.979,
Vteco_1,20-1910,Dufourea novaeangliae,7/7/20,US,Vermont,,,Western Bay Rd,43.576905,-73.384015,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_2,20-1971,Dufourea novaeangliae,7/7/20,US,Vermont,,,Western Bay Rd,43.576905,-73.384015,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_3,20-1972,Dufourea novaeangliae,7/7/20,US,Vermont,,,Western Bay Rd,43.576905,-73.384015,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_4,20-1993,Dufourea novaeangliae,7/7/20,US,Vermont,,,Wetland south of Cogman Pond,43.613232,-73.377262,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_5,20-3064,Dufourea novaeangliae,8/13/20,US,Vermont,,,MNWR Cranberry Pool,44.969132,-73.155542,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_6,20-4693,Dufourea novaeangliae,7/21/20,US,Vermont,,,North Springfield Reservoir,43.356431,-72.500218,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_7,20-4929,Dufourea novaeangliae,7/21/20,US,Vermont,,,Herrick's Cove Marsh,43.179298,-72.448401,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_8,20-4930,Dufourea novaeangliae,7/21/20,US,Vermont,,,Herrick's Cove Marsh,43.179298,-72.448401,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_9,20-4973,Dufourea novaeangliae,8/13/20,US,Vermont,,,MNWR Cranberry Pool,44.969132,-73.155542,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_10,6116,Dufourea novaeangliae,7/24/19,US,Vermont,,,Sandbar NWMA,44.623583,-73.238455,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_11,6117,Dufourea novaeangliae,7/24/19,US,Vermont,,,Sandbar NWMA,44.623583,-73.238455,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_12,6118,Dufourea novaeangliae,7/24/19,US,Vermont,,,Sandbar NWMA,44.623583,-73.238455,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_13,6119,Dufourea novaeangliae,7/24/19,US,Vermont,,,Sandbar NWMA,44.623583,-73.238455,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_14,6121,Dufourea novaeangliae,7/24/19,US,Vermont,,,Sandbar NWMA,44.623583,-73.238455,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_15,6122,Dufourea novaeangliae,7/24/19,US,Vermont,,,Sandbar NWMA,44.623583,-73.238455,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_16,6123,Dufourea novaeangliae,7/24/19,US,Vermont,,,Sandbar NWMA,44.623583,-73.238455,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_17,6124,Dufourea novaeangliae,7/24/19,US,Vermont,,,Sandbar NWMA,44.623583,-73.238455,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_18,8979,Dufourea novaeangliae,7/25/19,US,Vermont,,,Delta Park - Wetland,44.534225,-73.278234,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_19,6178,Dufourea novaeangliae,7/26/19,US,Vermont,,,Town Farm Bay,44.268067,-73.266641,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_20,6179,Dufourea novaeangliae,7/26/19,US,Vermont,,,Town Farm Bay,44.268067,-73.266641,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Vteco_21,2242,Dufourea novaeangliae,7/28/19,US,Vermont,,,Monkton salamander crossing,44.216312,-73.156032,val.vtecostudies.org/projects/vtbees/dufourea-novaeangliae/
Kstoner_1,UCMS_ENT 00031194,Dufourea novaeangliae,7/13/74,,Connecticut,Tolland,"Stafford Twp., near Crystal Lake",,41.93805,-72.37361,
Kstoner_2,UCMS_ENT 00031195,Dufourea novaeangliae,7/13/74,,Connecticut,Tolland,"Stafford Twp., near Crystal Lake",,41.93805,-72.37361,
Kstoner_3,UCMS_ENT 00031196,Dufourea novaeangliae,8/15/03,,Connecticut,Hartford,"Simsbury Airport, sand plain malaise",,41.91482,-72.77397,
Kstoner_4,UCMS_ENT 00076358,Dufourea novaeangliae,7/3/10,,Connecticut,Middlesex,"East Haddam, sphagnum bog at north end of Lake Hayward",,41.53312,-72.33472,
Kstoner_5,UCMS_ENT 00076359,Dufourea novaeangliae,7/3/10,,Connecticut,Middlesex,"East Haddam, sphagnum bog at north end of Lake Hayward",,41.53312,-72.33472,
Kstoner_6,UCMS_ENT 00020469,Dufourea novaeangliae,7/10/03,,Connecticut,Hartford,"Simsbury Airport, Sandplain Site #2",,41.91482,-72.77397,
Kstoner_7,UCMS_ENT 00025198,Dufourea novaeangliae,8/3/07,,Connecticut,Litchfield,"Canaan, Sand Rd, bottom lot",,41.98388,-73.35371,
Kstoner_8,UCMS_ENT 00025199,Dufourea novaeangliae,8/3/07,,Connecticut,Litchfield,"Canaan, Sand Rd, bottom lot",,41.98388,-73.35371,
Mjacobson_1,,Dufourea novaeangliae,7/15/19,,,,,Seneca Meadows,42.942279,-76.818986,
Mjacobson_2,,Dufourea novaeangliae,7/15/19,,,,,MNWR,42.975202,-76.736989,
Mjacobson_3,,Dufourea novaeangliae,8/2/19,,,,,NMWMA,43.07369,-76.723074,
Mjacobson_4,,Dufourea novaeangliae,8/9/19,,,,,Seneca Meadows,42.942279,-76.818986,
Mjacobson_5,,Dufourea novaeangliae,7/17/20,,,,,Seneca Meadows,42.942279,-76.818986,
Mjacobson_6,,Dufourea novaeangliae,7/18/20,,,,,Seneca Meadows,42.932579,-76.818885,
Mjacobson_7,,Dufourea novaeangliae,7/18/20,,,,,Seneca Meadows,42.942279,-76.818986,